cycle_index,cycle_start_time,cycle_end_time,cycle_ms,product_code,batch_id,shift,fault_mode,is_long_gap,is_abnormal_cycle
0,2026-01-30T08:00:00.000Z,2026-01-30T08:00:01.521Z,1521,FG-A,BATCH-1000,DAY,normal,0,0
1,2026-01-30T08:00:01.521Z,2026-01-30T08:00:03.040Z,1519,FG-A,BATCH-1000,DAY,normal,0,0
2,2026-01-30T08:00:03.040Z,2026-01-30T08:00:04.563Z,1523,FG-A,BATCH-1000,DAY,normal,0,0
3,2026-01-30T08:00:04.563Z,2026-01-30T08:00:05.956Z,1393,FG-A,BATCH-1000,DAY,normal,0,0
4,2026-01-30T08:00:05.956Z,2026-01-30T08:00:07.471Z,1515,FG-A,BATCH-1000,DAY,normal,0,0
5,2026-01-30T08:00:07.471Z,2026-01-30T08:00:09.018Z,1547,FG-A,BATCH-1000,DAY,normal,0,0
6,2026-01-30T08:00:09.018Z,2026-01-30T08:00:10.616Z,1598,FG-A,BATCH-1000,DAY,normal,0,0
7,2026-01-30T08:00:10.616Z,2026-01-30T08:00:12.162Z,1546,FG-A,BATCH-1000,DAY,normal,0,0
8,2026-01-30T08:00:12.162Z,2026-01-30T08:00:13.721Z,1559,FG-A,BATCH-1000,DAY,normal,0,0
9,2026-01-30T08:00:13.721Z,2026-01-30T08:00:27.673Z,13952,FG-A,BATCH-1000,DAY,long_gap,1,1
10,2026-01-30T08:00:27.673Z,2026-01-30T08:00:29.181Z,1508,FG-A,BATCH-1000,DAY,normal,0,0
11,2026-01-30T08:00:29.181Z,2026-01-30T08:00:30.635Z,1454,FG-A,BATCH-1000,DAY,normal,0,0
12,2026-01-30T08:00:30.635Z,2026-01-30T08:00:32.150Z,1515,FG-A,BATCH-1000,DAY,normal,0,0
13,2026-01-30T08:00:32.150Z,2026-01-30T08:00:33.722Z,1572,FG-A,BATCH-1000,DAY,normal,0,0
14,2026-01-30T08:00:33.722Z,2026-01-30T08:00:35.122Z,1400,FG-A,BATCH-1000,DAY,normal,0,0
15,2026-01-30T08:00:35.122Z,2026-01-30T08:00:36.554Z,1432,FG-A,BATCH-1000,DAY,normal,0,0
16,2026-01-30T08:00:36.554Z,2026-01-30T08:00:38.182Z,1628,FG-A,BATCH-1000,DAY,normal,0,0
17,2026-01-30T08:00:38.182Z,2026-01-30T08:00:39.704Z,1522,FG-A,BATCH-1000,DAY,normal,0,0
18,2026-01-30T08:00:39.704Z,2026-01-30T08:00:41.102Z,1398,FG-A,BATCH-1000,DAY,normal,0,0
19,2026-01-30T08:00:41.102Z,2026-01-30T08:00:42.511Z,1409,FG-A,BATCH-1000,DAY,normal,0,0
20,2026-01-30T08:00:42.511Z,2026-01-30T08:00:44.114Z,1603,FG-A,BATCH-1000,DAY,normal,0,0
21,2026-01-30T08:00:44.114Z,2026-01-30T08:00:45.671Z,1557,FG-A,BATCH-1000,DAY,normal,0,0
22,2026-01-30T08:00:45.671Z,2026-01-30T08:00:47.213Z,1542,FG-A,BATCH-1000,DAY,normal,0,0
23,2026-01-30T08:00:47.213Z,2026-01-30T08:00:48.794Z,1581,FG-A,BATCH-1000,DAY,normal,0,0
24,2026-01-30T08:00:48.794Z,2026-01-30T08:00:50.272Z,1478,FG-A,BATCH-1000,DAY,normal,0,0
25,2026-01-30T08:00:50.272Z,2026-01-30T08:00:51.879Z,1607,FG-A,BATCH-1000,DAY,normal,0,0
26,2026-01-30T08:00:51.879Z,2026-01-30T08:00:53.544Z,1665,FG-A,BATCH-1000,DAY,normal,0,0
27,2026-01-30T08:00:53.544Z,2026-01-30T08:00:55.029Z,1485,FG-A,BATCH-1000,DAY,normal,0,0
28,2026-01-30T08:00:55.029Z,2026-01-30T08:00:56.560Z,1531,FG-A,BATCH-1000,DAY,normal,0,0
29,2026-01-30T08:00:56.560Z,2026-01-30T08:00:58.042Z,1482,FG-A,BATCH-1000,DAY,normal,0,0
30,2026-01-30T08:00:58.042Z,2026-01-30T08:00:59.503Z,1461,FG-A,BATCH-1000,DAY,normal,0,0
31,2026-01-30T08:00:59.503Z,2026-01-30T08:01:00.948Z,1445,FG-A,BATCH-1000,DAY,normal,0,0
