event_id,timestamp,machine_id,plc_name,tag_name,tag_value,data_type,event_type,product_code,batch_id,shift,source_system
1,2026-01-30T08:00:00.000Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
2,2026-01-30T08:00:00.036Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Monitoring home position (CAM004),0,BOOL,FALLING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
3,2026-01-30T08:00:00.136Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Infeed product present,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
4,2026-01-30T08:00:00.447Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Film registration mark detected,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
5,2026-01-30T08:00:00.574Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rAngleSealingCrimper,48.29,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
6,2026-01-30T08:00:00.643Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,rPercSealingAngle,110.34,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
7,2026-01-30T08:00:00.859Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Sealing temperature actual,140.76,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
8,2026-01-30T08:00:01.042Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Main motor speed percent,100.69,REAL,ANALOG_SAMPLE,FG-A,BATCH-1000,DAY,synthetic_plc
9,2026-01-30T08:00:01.272Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Vision inspection complete,1,BOOL,RISING_EDGE,FG-A,BATCH-1000,DAY,synthetic_plc
10,2026-01-30T08:00:01.326Z,SYNTH_PACK_LINE_01,SYNTH_PLC_01,Reject blowoff command,0,BOOL,STATE,FG-A,BATCH-1000,DAY,synthetic_plc
